span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
1.0,7.0,0,0.035429,28.23,shear,1.2616,0.001262,3226.8428,1.0
1.0,7.0,2,0.014032,71.27,shear,0.7675,0.000767,1206.4995,0.8869
1.0,7.0,5,0.009729,102.78,shear,0.5966,0.000597,397.4455,0.7408
1.0,7.0,8,0.022143,45.16,shear,0.8426,0.000843,286.1906,0.6188
1.0,7.0,10,0.051212,19.53,shear,1.2297,0.00123,267.6636,0.5488
1.0,7.5,0,0.044311,22.57,shear,1.4103,0.00141,3658.7132,1.0
1.0,7.5,2,0.017204,58.13,shear,0.8493,0.000849,1368.5942,0.8869
1.0,7.5,5,0.011333,88.24,shear,0.6442,0.000644,435.5593,0.7408
1.0,7.5,8,0.025391,39.38,shear,0.9023,0.000902,305.9717,0.6188
1.0,7.5,10,0.058597,17.07,shear,1.3153,0.001315,284.8346,0.5488
1.0,8.0,0,0.054796,18.25,shear,1.5676,0.001568,4120.3678,1.0
1.0,8.0,2,0.020879,47.9,shear,0.9351,0.000935,1541.8679,0.8869
1.0,8.0,5,0.013107,76.3,shear,0.693,0.000693,476.3016,0.7408
1.0,8.0,8,0.028923,34.57,shear,0.963,0.000963,327.1171,0.6188
1.0,8.0,10,0.066604,15.01,shear,1.4022,0.001402,303.1899,0.5488
1.5,0.5,0,0.000628,1593.22,shear,0.5533,0.000369,322.8867,1.0
1.5,0.5,2,0.000186,5382.68,shear,0.2915,0.000194,116.5521,0.8869
1.5,0.5,5,0.000515,1940.0,shear,0.4565,0.000304,141.1632,0.7408
1.5,0.5,8,0.001607,622.4,shear,0.7601,0.000507,153.1795,0.6188
1.5,0.5,10,0.003787,264.06,shear,1.1231,0.000749,152.2031,0.5488
1.5,1.0,0,0.000988,1012.37,shear,0.697,0.000465,367.5629,1.0
1.5,1.0,2,0.000358,2793.71,shear,0.4032,0.000269,133.3205,0.8869
1.5,1.0,5,0.000775,1290.7,shear,0.562,0.000375,145.106,0.7408
1.5,1.0,8,0.002313,432.42,shear,0.917,0.000611,155.2258,0.6188
1.5,1.0,10,0.005449,183.52,shear,1.3545,0.000903,153.9794,0.5488
1.5,1.5,0,0.001584,631.14,shear,0.8846,0.00059,442.0233,1.0
1.5,1.5,2,0.000634,1577.01,shear,0.5351,0.000357,161.2679,0.8869
1.5,1.5,5,0.001126,887.74,shear,0.6742,0.000449,151.6773,0.7408
1.5,1.5,8,0.003236,309.06,shear,1.0793,0.00072,158.6364,0.6188
1.5,1.5,10,0.00761,131.41,shear,1.5929,0.001062,156.9399,0.5488
1.5,2.0,0,0.002518,397.13,shear,1.116,0.000744,546.2679,1.0
1.5,2.0,2,0.001048,954.53,shear,0.6871,0.000458,200.3942,0.8869
1.5,2.0,5,0.00157,637.11,shear,0.7931,0.000529,160.8772,0.7408
1.5,2.0,8,0.004354,229.65,shear,1.247,0.000831,163.4111,0.6188
1.5,2.0,10,0.010221,97.84,shear,1.8383,0.001226,161.0846,0.5488
1.5,2.5,0,0.003913,255.55,shear,1.3913,0.000928,680.2967,1.0
1.5,2.5,2,0.001638,610.38,shear,0.8592,0.000573,250.6995,0.8869
1.5,2.5,5,0.002116,472.59,shear,0.9188,0.000613,172.7056,0.7408
