segment,hydro_scenario,degradation_scenario,time_yr,max_FI,safety_factor,max_sigma_MPa,max_tau_MPa,max_defl_mm,q_total_N_m,deg_factor,veg_factor,wall_mm
INF,P95,baseline,10.0,0.01635,61.16,3.1951,0.4413,2.2809,86.7389,0.5488,1.0,5.0
INF,P95,pessimistic,0.0,0.004863,205.62,4.2649,0.4263,1.5451,625.9465,1.0,0.018,15.0
INF,P95,pessimistic,0.5,0.005171,193.38,4.1256,0.4189,1.5765,580.0264,0.9512,0.0474,14.5
INF,P95,pessimistic,1.0,0.004627,216.11,3.6275,0.378,1.4727,460.3908,0.9048,0.1192,14.0
INF,P95,pessimistic,1.5,0.004147,241.11,3.1974,0.3413,1.3772,367.2139,0.8607,0.2689,13.5
INF,P95,pessimistic,2.0,0.003478,287.55,2.7206,0.2981,1.2452,276.0815,0.8187,0.5,13.0
INF,P95,pessimistic,2.5,0.003088,323.84,2.3922,0.2677,1.1596,219.4023,0.7788,0.7311,12.5
INF,P95,pessimistic,3.0,0.002922,342.26,2.1715,0.2482,1.1147,178.5956,0.7408,0.8808,12.0
INF,P95,pessimistic,3.5,0.003058,327.02,2.0793,0.2419,1.1277,156.5164,0.7047,0.9526,11.5
INF,P95,pessimistic,4.0,0.003334,299.95,2.0321,0.2406,1.1644,139.0719,0.6703,0.982,11.0
INF,P95,pessimistic,4.5,0.003778,264.71,2.0279,0.244,1.2261,127.7223,0.6376,0.9933,10.5
INF,P95,pessimistic,5.0,0.004326,231.18,2.0341,0.2487,1.2978,117.045,0.6065,0.9975,10.0
INF,P95,pessimistic,5.5,0.005082,196.76,2.0705,0.2567,1.3922,110.719,0.5769,0.9991,9.5
INF,P95,pessimistic,6.0,0.006009,166.43,2.114,0.2658,1.4979,104.4902,0.5488,0.9997,9.0
INF,P95,pessimistic,6.5,0.00724,138.13,2.1818,0.2778,1.6276,100.964,0.522,0.9999,8.5
INF,P95,pessimistic,7.0,0.008783,113.85,2.2596,0.2913,1.7745,97.4469,0.4966,1.0,8.0
INF,P95,pessimistic,7.5,0.010807,92.53,2.3582,0.3076,1.9488,95.246,0.4724,1.0,7.5
INF,P95,pessimistic,8.0,0.013416,74.54,2.4721,0.3263,2.1496,93.0389,0.4493,1.0,7.0
INF,P95,pessimistic,8.5,0.016824,59.44,2.6046,0.3479,2.3833,90.825,0.4274,1.0,6.5
INF,P95,pessimistic,9.0,0.021347,46.84,2.7605,0.373,2.6579,88.6041,0.4066,1.0,6.0
INF,P95,pessimistic,9.5,0.027641,36.18,2.9576,0.4041,2.9949,87.6768,0.3867,1.0,5.5
INF,P95,pessimistic,10.0,0.036388,27.48,3.1951,0.4413,3.4027,86.7389,0.3679,1.0,5.0
