segment,hydro,degradation,time_yr,max_FI,safety_factor,max_sigma_MPa,max_tau_MPa,max_disp_lat_mm,width_m,height_m
INF,median,optimistic,0.0,0.00011627954701137481,999.0,0.2023853434403411,0.06991777126062365,0.06582915294586962,1.5,0.36
INF,P90,optimistic,0.0,0.00023639713859144714,999.0,1.419590772133157,0.08578976585667537,0.46683422203597613,1.5,0.36
INF,P95,optimistic,0.0,0.0007781451308896743,999.0,2.591223926301057,0.15530910228605627,0.8522613999709532,1.5,0.36
INF,median,optimistic,0.5,0.00012077682586477572,999.0,0.23611760974174184,0.07020033848144595,0.07820606989749297,1.5,0.36
INF,P90,optimistic,0.5,0.00043276503001836057,999.0,1.694340493855001,0.12200130818645527,0.5636075944330625,1.5,0.36
INF,P95,optimistic,0.5,0.0014886410965039383,671.7535894639024,3.087523144296515,0.22416030799530662,1.0263406544672578,1.5,0.36
INF,median,optimistic,1.0,0.0001272094191304341,999.0,0.3253415206406583,0.07097938589728991,0.10991763593243821,1.5,0.36
INF,P90,optimistic,1.0,0.00023263095460383822,999.0,0.5070794183884545,0.09585258337551077,0.16651843319247547,1.5,0.36
INF,P95,optimistic,1.0,0.00023263095460383822,999.0,0.5070794183884545,0.09585258337551077,0.16651843319247547,1.5,0.36
INF,median,optimistic,1.5,0.0001787821418359511,999.0,0.4091646060884803,0.08235967839834828,0.1362812624703872,1.5,0.36
INF,P90,optimistic,1.5,0.00023683095711479223,999.0,0.4937765646849381,0.09528647140374122,0.16459116843968513,1.5,0.36
INF,P95,optimistic,1.5,0.00023683095711479223,999.0,0.4937765646849381,0.09528647140374122,0.16459116843968513,1.5,0.36
INF,median,optimistic,2.0,0.0002349723636338121,999.0,0.4669768714336091,0.09351777826784911,0.1579853015066472,1.5,0.36
INF,P90,optimistic,2.0,0.0002349723636338121,999.0,0.4669768714336091,0.09351777826784911,0.1579853015066472,1.5,0.36
INF,P95,optimistic,2.0,0.0002349723636338121,999.0,0.4669768714336091,0.09351777826784911,0.1579853015066472,1.5,0.36
INF,median,optimistic,2.5,0.00023262699072362024,999.0,0.4393582899829644,0.09168357144023848,0.15085850933598227,1.5,0.36
INF,P90,optimistic,2.5,0.00023262699072362024,999.0,0.4393582899829644,0.09168357144023848,0.15085850933598227,1.5,0.36
INF,P95,optimistic,2.5,0.00023262699072362024,999.0,0.4393582899829644,0.09168357144023848,0.15085850933598227,1.5,0.36
INF,median,optimistic,3.0,0.00023591201330801936,999.0,0.42481720697558106,0.09096591432904706,0.14805524359160854,1.5,0.36
INF,P90,optimistic,3.0,0.00023591201330801936,999.0,0.42481720697558106,0.09096591432904706,0.14805524359160854,1.5,0.36
INF,P95,optimistic,3.0,0.00023591201330801936,999.0,0.42481720697558106,0.09096591432904706,0.14805524359160854,1.5,0.36
INF,median,optimistic,3.5,0.00024533532195151407,999.0,0.4237622258299957,0.09138840574718989,0.14992340567371987,1.5,0.36
INF,P90,optimistic,3.5,0.00024533532195151407,999.0,0.4237622258299957,0.09138840574718989,0.14992340567371987,1.5,0.36
INF,P95,optimistic,3.5,0.00024533532195151407,999.0,0.4237622258299957,0.09138840574718989,0.14992340567371987,1.5,0.36
INF,median,optimistic,4.0,0.0002591414176580678,999.0,0.43085143800588593,0.09252660425751122,0.1547508006184422,1.5,0.36
INF,P90,optimistic,4.0,0.0002591414176580678,999.0,0.43085143800588593,0.09252660425751122,0.1547508006184422,1.5,0.36
INF,P95,optimistic,4.0,0.0002591414176580678,999.0,0.43085143800588593,0.09252660425751122,0.1547508006184422,1.5,0.36
INF,median,optimistic,4.5,0.0002761471361040661,999.0,0.4423146585181142,0.09409051659790393,0.1612902224161058,1.5,0.36
INF,P90,optimistic,4.5,0.0002761471361040661,999.0,0.4423146585181142,0.09409051659790393,0.1612902224161058,1.5,0.36
INF,P95,optimistic,4.5,0.0002761471361040661,999.0,0.4423146585181142,0.09409051659790393,0.1612902224161058,1.5,0.36
INF,median,optimistic,5.0,0.0002959915517994458,999.0,0.4564837742988053,0.09595943992028765,0.1689963192630081,1.5,0.36
INF,P90,optimistic,5.0,0.0002959915517994458,999.0,0.4564837742988053,0.09595943992028765,0.1689963192630081,1.5,0.36
INF,P95,optimistic,5.0,0.0002959915517994458,999.0,0.4564837742988053,0.09595943992028765,0.1689963192630081,1.5,0.36
INF,median,optimistic,5.5,0.00031883258903921347,999.0,0.4728262692698048,0.0981067512118448,0.17771694539133445,1.5,0.36
INF,P90,optimistic,5.5,0.00031883258903921347,999.0,0.4728262692698048,0.0981067512118448,0.17771694539133445,1.5,0.36
INF,P95,optimistic,5.5,0.00031883258903921347,999.0,0.4728262692698048,0.0981067512118448,0.17771694539133445,1.5,0.36
INF,median,optimistic,6.0,0.00034515607495197047,999.0,0.4913256924760646,0.10055242694161567,0.18748685055618391,1.5,0.36
INF,P90,optimistic,6.0,0.00034515607495197047,999.0,0.4913256924760646,0.10055242694161567,0.18748685055618391,1.5,0.36
INF,P95,optimistic,6.0,0.00034515607495197047,999.0,0.4913256924760646,0.10055242694161567,0.18748685055618391,1.5,0.36
INF,median,optimistic,6.5,0.0003757188955851572,999.0,0.5122149666740154,0.10334313128019429,0.19843847898686287,1.5,0.36
INF,P90,optimistic,6.5,0.0003757188955851572,999.0,0.5122149666740154,0.10334313128019429,0.19843847898686287,1.5,0.36
INF,P95,optimistic,6.5,0.0003757188955851572,999.0,0.5122149666740154,0.10334313128019429,0.19843847898686287,1.5,0.36
INF,median,optimistic,7.0,0.0004115773395907106,999.0,0.5358841543727542,0.10654653220892606,0.21077288684223486,1.5,0.36
INF,P90,optimistic,7.0,0.0004115773395907106,999.0,0.5358841543727542,0.10654653220892606,0.21077288684223486,1.5,0.36
INF,P95,optimistic,7.0,0.0004115773395907106,999.0,0.5358841543727542,0.10654653220892606,0.21077288684223486,1.5,0.36
INF,median,optimistic,7.5,0.0004541791792052619,999.0,0.5628657512922004,0.11025264405411463,0.22475874321218067,1.5,0.36
INF,P90,optimistic,7.5,0.0004541791792052619,999.0,0.5628657512922004,0.11025264405411463,0.22475874321218067,1.5,0.36
INF,P95,optimistic,7.5,0.0004541791792052619,999.0,0.5628657512922004,0.11025264405411463,0.22475874321218067,1.5,0.36
INF,median,optimistic,8.0,0.0005055254207122329,999.0,0.5938593223890725,0.11457957118616999,0.24074700132480267,1.5,0.36
INF,P90,optimistic,8.0,0.0005055254207122329,999.0,0.5938593223890725,0.11457957118616999,0.24074700132480267,1.5,0.36
INF,P95,optimistic,8.0,0.0005055254207122329,999.0,0.5938593223890725,0.11457957118616999,0.24074700132480267,1.5,0.36
INF,median,optimistic,8.5,0.0005684324506388614,999.0,0.6297854973368369,0.11968345532438496,0.2591987829102541,1.5,0.36
INF,P90,optimistic,8.5,0.0005684324506388614,999.0,0.6297854973368369,0.11968345532438496,0.2591987829102541,1.5,0.36
INF,P95,optimistic,8.5,0.0005684324506388614,999.0,0.6297854973368369,0.11968345532438496,0.2591987829102541,1.5,0.36
INF,median,optimistic,9.0,0.0006469585702206734,999.0,0.6718740507306936,0.12577401828580184,0.2807297809498492,1.5,0.36
INF,P90,optimistic,9.0,0.0006469585702206734,999.0,0.6718740507306936,0.12577401828580184,0.2807297809498492,1.5,0.36
INF,P95,optimistic,9.0,0.0006469585702206734,999.0,0.6718740507306936,0.12577401828580184,0.2807297809498492,1.5,0.36
INF,median,optimistic,9.5,0.0007471177924341988,999.0,0.7218028310448419,0.1331388178828502,0.3061799171084111,1.5,0.36
INF,P90,optimistic,9.5,0.0007471177924341988,999.0,0.7218028310448419,0.1331388178828502,0.3061799171084111,1.5,0.36
INF,P95,optimistic,9.5,0.0007471177924341988,999.0,0.7218028310448419,0.1331388178828502,0.3061799171084111,1.5,0.36
INF,median,optimistic,10.0,0.0008781218203868611,999.0,0.7819211654159262,0.1421821223721325,0.3367252125449496,1.5,0.36
INF,P90,optimistic,10.0,0.0008781218203868611,999.0,0.7819211654159262,0.1421821223721325,0.3367252125449496,1.5,0.36
INF,P95,optimistic,10.0,0.0008781218203868611,999.0,0.7819211654159262,0.1421821223721325,0.3367252125449496,1.5,0.36
INF,median,baseline,0.0,0.00011627954701137481,999.0,0.2023853434403411,0.06991777126062365,0.06582915294586962,1.5,0.36
INF,P90,baseline,0.0,0.00023639713859144714,999.0,1.419590772133157,0.08578976585667537,0.46683422203597613,1.5,0.36
