palicada,area_group,vib_cm_h,runoff_index_1_over_vib,crest_height_cm,current_fill_cm,remaining_cm,p90_mm,p95_mm,sed_scale_runoff,sed_inc_p90_cm_base,sed_inc_p95_cm_base,sed_inc_p90_cm,sed_inc_p95_cm,n_events_p90,n_events_p95,pool_area_m2,catchment_area_m2,runoff_coeff,runoff_coeff_source,runoff_coeff_rule,runoff_p90_m3,runoff_p95_m3,capacity_remaining_m3
P1,SUP,3.13,0.3194888178913738,50.0,0.0,50.0,168.10957642479576,181.849242139867,0.6389776357827476,2.7538111057489223,2.978881234650039,1.7596237097437202,1.903438488594274,18.1566556600846,16.784824926353277,,,0.38338658146964855,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",,,
P2,MED,1.53,0.6535947712418301,76.0,0.0,76.0,168.10957642479576,181.849242139867,1.3071895424836601,4.556778125555826,4.929205500095634,5.956572713144871,6.443405882477953,16.678450849684435,15.418306256155375,,,0.7843137254901961,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",,,
P3,MED,1.53,0.6535947712418301,76.0,0.0,76.0,168.10957642479576,181.849242139867,1.3071895424836601,4.556778125555826,4.929205500095634,5.956572713144871,6.443405882477953,16.678450849684435,15.418306256155375,,,0.7843137254901961,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",,,
P4,INF,1.59,0.6289308176100629,36.0,0.0,36.0,168.10957642479576,181.849242139867,1.2578616352201257,2.8096308037570297,3.039263099830643,3.5341267971786534,3.8229724526171607,12.813071365768382,11.844976501707283,,,0.7547169811320754,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",,,
