applied_cm,area_group,crest_height_cm,current_fill_cm,deposit_length_pct,n_events_to_fill,overflow,p90_mm,p95_applied_cm,p95_mm,p95_overflow,p95_sed_inc_cm,palicada,remaining_cm,sed_inc_cm
50.0,SUP,50.0,0.0,0.18,1815.6655660084598,False,168.10957642479576,50.0,181.849242139867,False,0.029788812346500392,P1,50.0,0.027538111057489226
76.0,MED,76.0,0.0,0.2,1667.8450849684432,False,168.10957642479576,76.0,181.849242139867,False,0.04929205500095634,P2,76.0,0.045567781255558264
76.0,MED,76.0,0.0,0.2,1667.8450849684432,False,168.10957642479576,76.0,181.849242139867,False,0.04929205500095634,P3,76.0,0.045567781255558264
36.0,INF,36.0,0.0,0.16,1281.3071365768383,False,168.10957642479576,36.0,181.849242139867,False,0.03039263099830643,P4,36.0,0.028096308037570294
