palicada,area_group,crest_height_cm,current_fill_cm,remaining_capacity_cm,deposit_length_pct,p90_mm,p95_mm,p90_sed_inc_cm,p90_applied_peak_cm,p90_deposit_mean_cm,p90_deposit_area_px,p90_overflow,p90_n_events_to_fill,p95_sed_inc_cm,p95_applied_peak_cm,p95_deposit_mean_cm,p95_deposit_area_px,p95_overflow,p95_n_events_to_fill
P1,SUP,50.0,0.0,50.0,0.18,168.10957642479576,181.849242139867,2.7538111057489223,50.0,8.049245834350586,6683,False,18.1566556600846,2.978881234650039,50.0,8.049245834350586,6683,False,16.784824926353277
P2,MED,76.0,0.0,76.0,0.2,168.10957642479576,181.849242139867,4.556778125555826,76.0,7.106589317321777,9855,False,16.678450849684435,4.929205500095634,76.0,7.106589317321777,9855,False,15.418306256155375
P3,MED,76.0,0.0,76.0,0.2,168.10957642479576,181.849242139867,4.556778125555826,76.0,13.79757022857666,3795,False,16.678450849684435,4.929205500095634,76.0,13.79757022857666,3795,False,15.418306256155375
P4,INF,36.0,0.0,36.0,0.16,168.10957642479576,181.849242139867,2.8096308037570297,36.0,3.4745144844055176,13137,False,12.813071365768382,3.039263099830643,36.0,3.4745144844055176,13137,False,11.844976501707283
