palicada,area_group,vib_cm_h,runoff_index_1_over_vib,runoff_coeff,runoff_coeff_source,runoff_coeff_rule,sed_scale_runoff,p90_sed_inc_cm_base,p95_sed_inc_cm_base,crest_height_cm,current_fill_cm,remaining_capacity_cm,deposit_length_pct,p90_mm,p95_mm,p90_sed_inc_cm,p90_applied_peak_cm,p90_deposit_mean_cm,p90_deposit_area_px,p90_overflow,p90_n_events_to_fill,p95_sed_inc_cm,p95_applied_peak_cm,p95_deposit_mean_cm,p95_deposit_area_px,p95_overflow,p95_n_events_to_fill
P1,SUP,3.13,0.3194888178913738,0.38338658146964855,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",0.6389776357827476,2.7538111057489223,2.978881234650039,50.0,0.0,50.0,0.18,168.10957642479576,181.849242139867,1.7596237097437202,50.0,8.049245834350586,6683,False,28.415166108032402,1.903438488594274,50.0,8.049245834350586,6683,False,26.268251009742883
P2,MED,1.53,0.6535947712418301,0.7843137254901961,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",1.3071895424836601,4.556778125555826,4.929205500095634,76.0,0.0,76.0,0.2,168.10957642479576,181.849242139867,5.956572713144871,76.0,7.106588363647461,9855,False,12.75901490000859,6.443405882477953,76.0,7.106588363647461,9855,False,11.795004285958862
P3,MED,1.53,0.6535947712418301,0.7843137254901961,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",1.3071895424836601,4.556778125555826,4.929205500095634,76.0,0.0,76.0,0.2,168.10957642479576,181.849242139867,5.956572713144871,76.0,13.79757022857666,3795,False,12.75901490000859,6.443405882477953,76.0,13.79757022857666,3795,False,11.795004285958862
P4,INF,1.59,0.6289308176100629,0.7547169811320754,vib_model,"power_inverse(ref_vib=2, alpha=1, coeff@ref=0.6, clamp=[0.2,0.95])",1.2578616352201257,2.8096308037570297,3.039263099830643,36.0,0.0,36.0,0.16,168.10957642479576,181.849242139867,3.5341267971786534,36.0,3.4745144844055176,13137,False,10.186391735785865,3.8229724526171607,36.0,3.4745144844055176,13137,False,9.41675631885729
