time_yr,fi_nodal,fi_internodal,ratio
0.0,0.0196029758957834,0.0059204254007494,3.3110755678641066
0.5,0.0103886560850328,0.0024521404931678,4.236566425935981
1.0,0.0173775572865382,0.004201649904867,4.135888919828573
1.5,0.0185977014046563,0.0044533293539263,4.1761342866454605
2.0,0.0187690492505635,0.0044516305517205,4.216218985942016
2.5,0.0187452562733901,0.0044042928628933,4.256133017702149
3.0,0.0197752486280138,0.0046033199319338,4.295866661543651
3.5,0.0222082954729733,0.0051225358163377,4.335410482078556
4.0,0.0259133254609829,0.0059233770770638,4.374755333629385
4.5,0.0308271286420675,0.0069841142687048,4.413892364304682
5.0,0.0370603456915297,0.0083229063357745,4.452813019441604
5.5,0.0448774992088481,0.0099916306000409,4.491509044446098
6.0,0.0546897956276147,0.0120728758914653,4.529972487025785
6.5,0.0670791548369546,0.0146839494757513,4.568195698829352
7.0,0.0828540179769096,0.0179876109513797,4.606171336530629
7.5,0.1031436404300928,0.0222106010178409,4.643892362356228
8.0,0.1295486432874773,0.0276733392550335,4.681352044058569
8.5,0.1643823796986616,0.0348375221862603,4.718543954411688
9.0,0.2110672121589514,0.0443841657198954,4.75546197017599
9.5,0.274806911513248,0.0573458183248261,4.792100270618666
10.0,0.3637740962883367,0.0753396731845879,4.828453335562827
