palicada,area_group,crest_height_cm,current_fill_cm,years_medio,years_p90,years_p95
P1,SUP,50.0,0.0,4.849005841717031,2.3679305090027003,2.1890209174785737
P2,MED,76.0,0.0,2.177306919462536,1.0632512416673825,0.9829170238299052
P3,MED,76.0,0.0,2.177306919462536,1.0632512416673825,0.9829170238299052
P4,INF,36.0,0.0,1.7382926020932563,0.8488659779821554,0.7847296932381075
