id;tipo;segmento;lon;lat
M0;cabeceira;superior;-37.199638691489746;-10.923800044916412
M1;pinos_montante;superior;-37.19959916650101;-10.924047487918743
M2;pinos_montante;intermediario;-37.19969811202297;-10.924653247148301
M3;pinos_montante;inferior;-37.1997929750158;-10.925218242513926
