id;tipo;segmento;lon;lat
P1;palicada;superior;-37.19959916650101;-10.924101730520192
P2;palicada;intermediario;-37.19969811202297;-10.924707489749752
P3;palicada;inferior;-37.1997929750158;-10.925272485115375
