time_yr,fi_nodal,fi_internodal,ratio
0.0,0.0715026401072526,0.0293026286603034,2.4401442251533574
0.5,0.0589094856046335,0.0249993886461217,2.356437048862492
1.0,0.0507579135051452,0.0218441069765092,2.323643331344671
1.5,0.0408409400745251,0.0174712126809514,2.3376133540548887
2.0,0.0587943211914201,0.0242314373620542,2.4263653993341094
2.5,0.0422271433210686,0.0169486372566783,2.4914772014741047
3.0,0.0609721235720623,0.0239914309775826,2.5414125413792186
3.5,0.0442848875194482,0.0163434619760696,2.7096393398345437
4.0,0.0529514827251184,0.0186926546229993,2.832742796197994
4.5,0.0746171547072139,0.0261544405726028,2.8529440153798045
5.0,0.1048943792511489,0.0364814551781734,2.8752794738820198
5.5,0.1356342584837574,0.0465575690654509,2.913259029763388
6.0,0.1096997260364746,0.0336103521370526,3.263867203448304
6.5,0.1409781760682792,0.0428359115304114,3.291121188542739
7.0,0.1822513574693951,0.0549139206580848,3.3188553154702283
7.5,0.2320092478012209,0.0692118053501856,3.35216292404658
8.0,0.297912112815774,0.0879952621730781,3.3855471926410075
8.5,0.3863602950039671,0.1130039235464467,3.4189989416178626
9.0,0.5069113278571052,0.1468240369397727,3.4525091287677956
9.5,0.6599202548704315,0.1890384481476644,3.4909314022454585
10.0,0.8734725021617682,0.2474901777905198,3.529321890507878
